序号,问题,答案
1,比例是多少？,图纸的比例是 **1:5**。
2,图幅是多少？,图纸的图幅是 **A2**。
3,分类是什么,根据图纸标题栏信息，分类是 **B**。
4,版本号是多少,图纸的版本号是 **4**。
5,图号是多少？,根据图纸信息，图号是 **N1011234567**。
6,图纸中的名称是什么,图纸中的名称是 **纸箱-图案**。
7,设计是谁,根据图纸签字栏信息，**设计**的签名是 **BB**，日期为 **19-03-20**。
8,审核是谁,根据图纸签字栏信息，**审核**的日期是 **24-12-19**。签名未明确给出。
9,批准是谁,根据图纸签字栏信息，**批准**一栏已列出角色标签，但未填写具体签名和日期。
10,标准化是谁,根据图纸签字栏信息，**标准化**的签名是 **DD**，日期为 **19-10-21**。
11,设计日期是什么？,根据图纸签字栏信息，**设计**的日期是 **19-03-20**。
12,审核日期是什么？,根据图纸签字栏信息，**审核**的日期为 **24-12-19**。
13,批准日期是什么？,根据图纸签字栏信息，**批准**栏目未填写日期，因此批准日期未在图纸中找到。
14,尺寸检测条件温度是多少？,根据图纸技术要求，尺寸检测条件的温度是 **20℃**。
15,尺寸检测条件湿度是多少？,根据图纸技术要求，尺寸检测条件的湿度为 **65%RH**。
16,吊装时要用几根吊绳？,根据图纸中的装卸注意事项，吊装时需要使用 **4根吊绳**。   |  | 具体文字注释为：   | - 中文：“①吊装时，产品前后一定要使用4根吊绳。”   | - 英文对应：“Apply four lifting wires to the front and rear side of the unit.”
17,吊绳要在产品哪个部位？,根据图纸中的装卸注意事项，吊绳需要吊在**产品下部（托盘的横梁之间）**。 |  | 具体文字注释为： | - 中文：“②吊绳一定要吊在产品下部。” | - 英文对应：“Ensure to hook the lifting wires between the beams of the pallet.”（确保将吊绳钩在托盘横梁之间） |  | 同时图纸还明确禁止吊打包带：“不能用吊钩吊起打包带 / Do not lift the unit by the band.”
18,材料是什么？,根据图纸信息，该纸箱的材料为： |  | **BC瓦楞纸**，材料规格为 **7T**。 |  | 此信息同时出现在图纸的标题栏（明细栏）和 BOM 表中： | - 材料：BC瓦楞纸 | - 材料规格：7T | - 技术要求也指出：“1.本品材质应符合GB T 。”
19,材料规格是什么？,根据图纸信息，该纸箱的材料规格是 **7T**。 |  | 此数据单独标注在标题栏（明细栏）和 BOM 表的规格列中，与材料“BC瓦楞纸”配合使用。
20,运输中机器的堆码数量是多少？,根据图纸中的堆码表信息，运输中机器的堆码数量为 **1**（堆码极限为1层）。
21,材质应符合什么标准？,根据图纸中的“技术要求”第1条规定： |  | **本品材质应符合 GB/T 标准。** |  | 但值得留意的是，原图纸的文字注释在“GB T”之后并没有写明具体的标准编号（仅标注为：“1.本品材质应符合GB T 。”）。因此，图纸中未提及具体的数字标准号，如需进一步确认，建议查阅完整的技术规格书。
